File-4 Mapping

1, 1
2, 2
3, 3
4, 4
5, 5
6, 6
8, __
__, 8
__, 9
__, 10
__, 11
9, 12
11, 14
12, 15
14, 17
__, 19
__, 20
__, 21
__, 22
__, 24
__, 25
__, 26
16, 28
__, 29
__, 30
__, 31
17, __
18, 32
18, 33
18, 34
19, 35
19, 36
__, 37
__, 39
__, 40
__, 41
20, __
21, 43
22, 44
23, 45
24, 46
25, 47
26, __
__, 49
__, 50
__, 51
__, 52

