ORIG NEW
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 9
9 -1
10 16
11 -1
12 18
13 19
14 21
15 22
16 28
17 -1
18 12
19 -1
20 -1
21 -1
22 31
23 -1
24 -1
25 -1
26 37
27 41
28 15
29 49
30 -1
31 -1
32 -1
33 -1
34 20
35 59
36 24
37 60
38 -1
39 27
40 -1
41 32
42 -1
43 -1
44 35
45 -1
46 -1
47 -1
48 45
49 82
50 47
51 52
52 -1
53 86
54 87
55 88
56 -1
57 -1
58 92
59 58
60 94
61 -1
62 44
63 64
64 -1
